HS Code,Category,Description,CD (Customs Duty),SD (Supplementary Duty),VAT (Value Added Tax),AIT (Advance Income Tax),RD (Regulatory Duty),AT (Advance Tax)
1012100,Live Animals,Pure-bred breeding animals of horses..,5,0,0,5,0,0
1012900,Live Animals,Other horses,5,0,0,5,0,0
1013000,Live Animals,Asses,5,0,0,5,0,0
1019000,Live Animals,"LIVE HORSES,ASSES,MULES AND HINNIES,NES",5,0,0,5,0,0
1022100,Live Animals,Pure-bred breeding animals of cattle,0,0,0,2,0,0
1022900,Live Animals,Other cattle,0,0,0,2,0,0
1023100,Live Animals,Pure-bred breeding animals of buffalo,0,0,0,2,0,0
1023900,Live Animals,Other buffalo,0,0,0,2,0,0
1029010,Live Animals,Other pure-bred breeding animals,0,0,0,2,0,0
1029090,Live Animals,Other live bovine animal,0,0,0,2,0,0
1031000,Live Animals,Live Pure-Bred Breeding Swine,5,0,0,5,0,0
1039100,Live Animals,Live Swine Weighing <50kg (Excl. Pure-Bred Breeding),5,0,0,5,0,0
1039200,Live Animals,Live Swine Weighing >=50kg (Excl. Pure-Bred Breeding),5,0,0,5,0,0
1041000,Live Animals,Live sheep,5,0,0,5,0,0
1042000,Live Animals,Live Goats,5,0,0,5,0,0
1051110,Live Animals,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),0,0,0,2,0,0
1051190,Live Animals,"Live Fowls Gallus,Domesticus<=185g, Excl.Parent Stock Of One Day Chick",25,0,0,5,3,0
1051210,Live Animals,"Live Turkeys Weighing <=185g, (Parent Stock Of One Day Chick)",0,0,0,2,0,0
1051290,Live Animals,"Live Turkeys Weighing <=185g, (Excl.Parent Stock Of One Day Chick)",25,0,0,5,3,0
1051310,Live Animals,Parent stock of one day chick of ducks,0,0,0,2,0,0
1051390,Live Animals,Other ducks,25,0,0,5,3,0
1051410,Live Animals,Parent stock of one day chick of geese,0,0,0,2,0,0
1051490,Live Animals,Other Geese,25,0,0,5,3,0
1051510,Live Animals,Parent stock of one day chick of guinea fowls,0,0,0,2,0,0
1051590,Live Animals,Other fowls,25,0,0,5,3,0
1059400,Live Animals,Fowls of the species Gallus domesticus,25,0,0,5,3,0
1059900,Live Animals,"Live Ducks, Geese, Turkeys And Guinea Fowls Weighing >185g",25,0,0,5,3,0
1061100,Live Animals,"MAMMALS, PRIMATES",5,0,0,5,0,0
1061200,Live Animals,"WHALES,DOLPHINS &...;SEALS,SEA LIONS & WALRUSES(MAMMALS OF THE SUBORDER PINNIPEDIA)",5,0,0,5,0,0
1061300,Live Animals,Camels and other camelids ( Camelidae),5,0,0,5,0,0
1061400,Live Animals,Rabbits and hares,5,0,0,5,0,0
1061900,Live Animals,"MAMMALS, NES",5,0,0,5,0,0
1062000,Live Animals,REPTILES (INCLUDING SNAKES AND TURTLES),5,0,0,5,0,0
1063100,Live Animals,BIRDS OF PREY,25,0,0,5,3,0
1063200,Live Animals,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS)",25,0,0,5,3,0
1063300,Live Animals,Ostriches; emus ( Dromaius novaehollandiae),25,0,0,5,3,0
1063900,Live Animals,OTHER BIRDS,25,0,0,5,3,0
1064100,Live Animals,Bees,0,0,0,5,0,0
1064900,Live Animals,Other Insects,5,0,0,5,0,0
1069000,Live Animals,"OTHER LIVE ANIMALS, NES",5,0,0,5,0,0
2011010,Meat & Edible Meat Offal,"Fresh Or Chilled Bovine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,3,7.5
2011090,Meat & Edible Meat Offal,"Fresh Or Chilled Bovine Carcasses And Half Carcasses, Nes",25,10,0,5,3,0
2012010,Meat & Edible Meat Offal,"Fresh Or Chilled,Other Cuts Of Bovine Meat With Bone In, Wrapped/Canned upto 2.5 kg",25,10,15,5,3,7.5
2012090,Meat & Edible Meat Offal,"Fresh Or Chilled,Other Cuts Of Bovine Meat With Bone In, Nes",25,10,0,5,3,0
2013010,Meat & Edible Meat Offal,"Fresh Or Chilled Boneless Bovine Meat, Wrapped/Canned upto 2.5 kg",25,10,15,5,3,7.5
2013090,Meat & Edible Meat Offal,"Fresh Or Chilled Boneless Bovine Meat, Nes",25,10,0,5,3,0
2021010,Meat & Edible Meat Offal,"Frozen Bovine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,3,7.5
2021090,Meat & Edible Meat Offal,"Frozen Bovine Carcasses And Half Carcasses, Nes",25,10,0,5,3,0
2022010,Meat & Edible Meat Offal,"Frozen Other Cuts Of Bovine Meat With Bone In, Wrapped/Canned upto 2.5 kg",25,10,15,5,3,7.5
2022090,Meat & Edible Meat Offal,"Frozen, Other Cuts Of Bovin Meat With Bone In, Nes",25,10,0,5,3,0
2023010,Meat & Edible Meat Offal,"Frozen Boneless Bovine Meat, Wrapped/Canned upto 2.5 kg",25,10,15,5,3,7.5
2023090,Meat & Edible Meat Offal,"Frozen Boneless Bovine Meat, Nes",25,10,0,5,3,0
2031110,Meat & Edible Meat Offal,"Fresh Or Chilled Swine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,0,15,5,3,7.5
2031190,Meat & Edible Meat Offal,"Fresh Or Chilled Swine Carcasses And Half Carcasses, Nes",25,0,0,5,3,0
2031210,Meat & Edible Meat Offal,"Fresh Or Chilled Hams,Shoulders&Cuts Thereof,With Bone In, Wrapped/Canned upto 2.5 kg",25,0,15,5,3,7.5
2031290,Meat & Edible Meat Offal,"Fresh/Chilled Hams,Shoulders & Cuts Thereof,With Bone In, Nes",25,0,0,5,3,0
