Year,MonthNo,Month,Exchange Rate(USD)
2022,1,January,85.86
2022,2,February,86.05
2022,3,March,86.05
2022,4,April,86.25
2022,5,May,86.5
2022,6,June,89.15
2022,7,July,93.5
2022,8,August,94.75
2022,9,September,95.05
2022,10,October,104.85
2022,11,November,106.25
2022,12,December,105.05
2023,1,January,106.35
2023,2,February,106.95
2023,3,March,105.47
2023,4,April,106.91
2023,5,May,106.51
2023,6,June,108.45
2023,7,July,108.97
2023,8,August,109.12
2023,9,September,110
2023,10,October,110.5
2023,11,November,111
2023,12,December,110.25
2024,1,January,110
2024,2,February,110
2024,3,March,110
2024,4,April,109.5
2024,5,May,116.65
2024,6,June,117
2024,7,July,117
2024,8,August,117
2024,9,September,119
2024,10,October,119
2024,11,November,119
2024,12,December,119
2025,1,January,121
2025,2,February,122
2025,3,March,121
2025,4,April,121
2025,5,May,121
2025,6,June,121.75
2025,7,July,121.75
2025,8,August,120.9
2025,9,September,121.25
2025,10,October,121.65
2025,11,November,121.8
2025,12,December,121.7
2026,1,January,122.3441
2026,2,February,122.3
2026,3,March,122.75
2026,4,April,122.8496
2026,5,May,122.75
2026,6,June,122.75
